district_char,avg_percent_meets,grant_participant,District Name,District Type,ESC Region,Enrollment,Percent Emergent Bilingual,Percent Economically Disadvantag,TEA Description,Overall Scale Score SY21_22,Overall Rating SY21_22
101856,11.7,0,DRAW ACADEMY,CHARTER,04,678,0.9587020649,1,Charter School Districts,57,Not Rated: SB 1365
101858,47.5,0,HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,CHARTER,04,6731,0.4107859159,0.7284207399,Charter School Districts,93,A
101859,38.9,0,STEP CHARTER SCHOOL,CHARTER,04,569,0.5237258348,1,Charter School Districts,92,A
101861,24,0,THE RHODES SCHOOL FOR PERFORMING ARTS,CHARTER,04,590,0.0491525424,0.8542372881,Charter School Districts,80,B
101862,63.4,1,HARMONY PUBLIC SCHOOLS - HOUSTON WEST,CHARTER,04,5405,0.3705827937,0.5759481961,Charter School Districts,95,A
101868,0,0,THE PRO-VISION ACADEMY,CHARTER,04,370,0,0.9864864865,Charter School Districts,,Not Rated
101870,45.4,1,BETA ACADEMY,CHARTER,04,1432,0.282122905,0.7311452514,Charter School Districts,92,A
101872,19,0,ETOILE ACADEMY CHARTER SCHOOL,CHARTER,04,512,0.693359375,0.97265625,Charter School Districts,83,B
101875,13.7,0,BLOOM ACADEMY CHARTER SCHOOL,CHARTER,04,339,0,0.8584070796,Charter School Districts,44,Not Rated: SB 1365
101876,5.9,0,REVE PREPARATORY CHARTER SCHOOL,CHARTER,04,230,0.1913043478,0.8173913043,Charter School Districts,55,Not Rated: SB 1365
101877,23.5,0,ELEVATE COLLEGIATE CHARTER SCHOOL,CHARTER,04,117,0.0085470085,0.8888888889,N/A,,Not Rated
101878,46.2,0,HOUSTON CLASSICAL CHARTER SCHOOL,CHARTER,04,185,0.1459459459,0.7027027027,Charter School Districts,,Not Rated
101902,21.4,1,ALDINE ISD,INDEPENDENT,04,60074,0.5554649266,0.9158537803,Major Suburban,75,C
101903,16.3,0,ALIEF ISD,INDEPENDENT,04,40329,0.6399861142,0.8662005009,Major Suburban,78,C
101905,36.5,1,CHANNELVIEW ISD,INDEPENDENT,04,9520,0.5431722689,0.8462184874,Major Suburban,91,A
